policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,average_reward,seed,benchmark_policy,variant_kind
semantic_greedy,edge_overload,1,12,0.0,0.0,0.0,0.0,0.79495,5.033542,420.011364,161.893799,161.893799,0.64,0.64,0.64,0.64,0.64,4.16,0.886394,1190.51215,6.5,0.0,210.947645,1.046367,0.044874,0.666667,0.0,1.0,0.083333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.581834,2,semantic_greedy,heuristic
lyapunov_greedy,edge_overload,1,12,0.0,0.0,0.281891,0.458333,0.732191,0.37929,85.85,0.0,0.0,0.358109,0.64,0.64,0.64,0.64,2.489607,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.110198,2,lyapunov_greedy,heuristic
ppo,edge_overload,1,4,0.5,0.5,0.601412,0.817589,0.418768,1.543983,144.720744,0.872022,0.872022,0.097287,0.625,0.63,0.62,0.64,0.35181,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.416667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.641749,2,proposed_two_timescale_ppo,rl
always_cache,utm_conflict,1,10,0.0,0.0,0.211135,0.292307,0.368272,0.195486,85.85,0.0,0.0,0.608865,0.82,0.82,0.82,0.82,3.079292,0.0,0.0,4.5,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.651222,0,always_cache,heuristic
always_semantic_token,utm_conflict,1,10,0.0,0.0,0.355225,0.615385,0.454021,6.217381,846.24419,1.188401,1.188401,0.464775,0.82,0.82,0.82,0.82,2.556262,20.040225,3231.276964,1.0,1.0,811.347502,5.366055,0.117524,0.033333,0.993781,1.0,0.7,0.0,0.0,0.1,0.1,0.1,0.0,1.0,0.0,0.0,-3.52435,0,always_semantic_token,heuristic
always_image,utm_conflict,1,10,0.0,0.0,0.0,0.0,0.391401,8.994868,1020.436888,191.093224,191.093224,0.82,0.82,0.82,0.82,0.82,4.51,34.467007,4127.615495,1.0,1.0,811.347502,5.366055,0.117524,0.033333,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,-4.829335,0,always_image,heuristic
semantic_greedy,utm_conflict,1,10,0.0,0.0,0.0,0.0,0.391401,8.994868,1020.436888,191.093224,191.093224,0.82,0.82,0.82,0.82,0.82,4.51,34.467007,4127.615495,1.0,1.0,811.347502,5.366055,0.117524,0.033333,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,-4.829335,0,semantic_greedy,heuristic
lyapunov_greedy,utm_conflict,1,10,0.0,0.0,0.211135,0.292307,0.368272,0.195486,85.85,0.0,0.0,0.608865,0.82,0.82,0.82,0.82,3.079292,0.0,0.0,4.5,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.651222,0,lyapunov_greedy,heuristic
ppo,utm_conflict,1,10,0.0,0.0,0.434193,0.661539,0.434655,18.487918,2724.175171,0.950721,0.950721,0.385807,0.82,0.82,0.82,0.82,1.806066,87.843069,13719.995951,0.9,0.0,2694.687522,17.822007,0.383139,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,-6.589155,0,proposed_two_timescale_ppo,rl
always_cache,utm_conflict,1,10,0.0,0.0,0.237579,0.323077,0.371153,0.169688,85.85,0.0,0.0,0.582421,0.82,0.82,0.82,0.82,2.858014,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.068278,1,always_cache,heuristic
always_semantic_token,utm_conflict,1,10,0.0,0.0,0.771898,1.0,0.391401,6.305237,863.423264,1.188101,1.188101,0.048102,0.82,0.82,0.82,0.82,0.264561,28.8007,3315.454465,0.4,0.4,828.526537,5.479673,0.156232,0.033333,0.994254,1.0,0.9,0.0,0.0,0.1,0.1,0.1,0.0,1.0,0.0,0.0,-2.348793,1,always_semantic_token,heuristic
always_image,utm_conflict,1,10,0.0,0.0,0.771898,1.0,0.391401,9.098362,1037.631599,206.76863,206.76863,0.048102,0.82,0.82,0.82,0.82,0.264561,43.995037,4218.720572,0.4,0.4,828.526537,5.479673,0.156232,0.033333,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,-3.888262,1,always_image,heuristic
semantic_greedy,utm_conflict,1,10,0.0,0.0,0.771898,1.0,0.391401,9.098362,1037.631599,206.76863,206.76863,0.048102,0.82,0.82,0.82,0.82,0.264561,43.995037,4218.720572,0.4,0.4,828.526537,5.479673,0.156232,0.033333,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,-3.888262,1,semantic_greedy,heuristic
lyapunov_greedy,utm_conflict,1,10,0.0,0.0,0.237579,0.323077,0.371153,0.169688,85.85,0.0,0.0,0.582421,0.82,0.82,0.82,0.82,2.858014,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.068278,1,lyapunov_greedy,heuristic
ppo,utm_conflict,1,10,0.8,0.0,0.834398,0.95,0.228443,3.459327,292.464731,123.833653,123.833653,0.00962,0.82,0.82,0.82,0.82,0.091394,5.667659,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,-1.056519,1,proposed_two_timescale_ppo,rl
always_cache,utm_conflict,1,10,0.0,0.0,0.52899,0.638462,0.380323,0.202323,85.85,0.0,0.0,0.29101,0.82,0.82,0.82,0.82,1.490018,0.0,0.0,4.5,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.652589,2,always_cache,heuristic
always_semantic_token,utm_conflict,1,10,0.0,0.0,0.355225,0.615385,0.454021,6.501456,888.147609,1.188401,1.188401,0.464775,0.82,0.82,0.82,0.82,2.556262,29.73407,3439.648066,0.1,0.1,853.25082,5.643193,0.154564,0.033333,0.993781,1.0,0.9,0.0,0.0,0.1,0.1,0.1,0.0,1.0,0.0,0.0,-3.797927,2,always_semantic_token,heuristic
always_image,utm_conflict,1,10,0.0,0.0,0.0,0.0,0.391401,9.294889,1062.356253,191.093224,191.093224,0.82,0.82,0.82,0.82,0.82,4.51,45.005967,4352.23824,0.1,0.1,853.25082,5.643193,0.154564,0.033333,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,-4.906107,2,always_image,heuristic
semantic_greedy,utm_conflict,1,10,0.0,0.0,0.0,0.0,0.391401,9.294889,1062.356253,191.093224,191.093224,0.82,0.82,0.82,0.82,0.82,4.51,45.005967,4352.23824,0.1,0.1,853.25082,5.643193,0.154564,0.033333,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,-4.906107,2,semantic_greedy,heuristic
lyapunov_greedy,utm_conflict,1,10,0.0,0.0,0.52899,0.638462,0.380323,0.202323,85.85,0.0,0.0,0.29101,0.82,0.82,0.82,0.82,1.490018,0.0,0.0,4.5,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.652589,2,lyapunov_greedy,heuristic
ppo,utm_conflict,1,10,0.0,0.0,0.394709,0.638462,0.444338,0.738374,110.192703,1.069561,1.069561,0.425291,0.82,0.82,0.82,0.82,2.161422,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,-0.771676,2,proposed_two_timescale_ppo,rl
