policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,cache_eligible_ratio,joint_feasible_selection_ratio,deadline_infeasible_selection_ratio,utm_infeasible_selection_ratio,average_selected_path_deadline_slack_s,average_q_defer,average_q_cache_stale,average_reward,seed,benchmark_policy,variant_kind
semantic_greedy,low_snr_soft,50,550,0.718182,0.136364,0.55054,0.692912,0.368911,5.245411,1150.874318,42.281258,42.281258,0.180478,0.622622,0.643213,0.52,0.697,0.861715,1.324804,5831.058752,0.0,0.0,1063.981322,3.707548,0.064479,0.094921,0.707925,0.281818,0.854545,0.0,0.0,0.0,0.0,0.0,0.065455,0.652727,0.281818,0.0,0.065455,0.652727,0.281818,0.0,0.0,0.274545,0.123636,0.854545,0.0,-0.900174,0.0,0.185455,-2.313728,2,semantic_greedy,heuristic
lyapunov_greedy,low_snr_soft,50,550,0.078182,0.078182,0.398652,0.485713,0.329499,0.175136,85.85,0.0,0.0,0.216583,0.606869,0.606095,0.52,0.697,1.133398,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.921818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.207273,0.207273,0.0,0.0,4.43941,0.0,4.454545,-0.273311,2,lyapunov_greedy,heuristic
ppo,low_snr_soft,50,550,0.292727,0.263636,0.319025,0.38925,0.159252,0.542876,126.574418,0.283744,0.283744,0.310374,0.584178,0.587866,0.52,0.697,1.531388,0.162946,90.650251,0.0,0.0,116.507003,0.265424,0.002839,0.049879,0.0,0.707273,0.054545,0.0,0.0,0.0,0.0,0.0,0.663636,0.336364,0.0,0.0,0.205455,0.336364,0.0,0.458182,0.0,0.312727,0.3,0.7,0.0,2.079153,2.227273,0.547273,0.857298,2,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_blockage,50,397,0.355164,0.355164,0.530486,0.553706,0.089693,0.18565,85.85,0.0,0.0,0.266759,0.77597,0.762969,0.65,0.82,1.082835,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.644836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.130982,0.0,0.0,2.118784,0.0,3.438287,-0.509544,0,always_cache,heuristic
always_semantic_token,low_snr_blockage,50,397,0.639798,0.0,0.605775,0.655957,0.112945,18.181345,2513.840224,0.986161,0.986161,0.209328,0.778766,0.777972,0.65,0.82,0.987673,58.714274,8657.656419,0.06801,0.0,2472.23802,16.350781,0.014593,0.115748,0.973323,0.360202,1.0,0.042821,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.352645,0.0,1.0,0.0,-16.386635,0.0,0.0,-5.988866,0,always_semantic_token,heuristic
always_image,low_snr_blockage,50,397,0.639798,0.0,0.597701,0.631818,0.096518,54.473652,2722.732187,36.966317,36.966317,0.256842,0.778766,0.777972,0.65,0.82,1.238722,211.262141,9578.621891,0.118388,0.0,2472.23802,16.350781,0.014593,0.115748,0.0,0.360202,1.0,0.073048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.352645,0.0,1.0,0.0,-52.678942,0.0,0.0,-13.400325,0,always_image,heuristic
semantic_greedy,low_snr_blockage,50,397,0.944584,0.241814,0.82044,0.865704,0.107082,14.946022,1873.328852,2.4793,2.4793,0.013063,0.778463,0.657727,0.65,0.82,0.014037,42.710482,6101.774822,0.04534,0.0,1827.321023,11.954214,0.012941,0.085882,0.932931,0.055416,0.758186,0.027708,0.0,0.0,0.0,0.0,0.254408,0.690176,0.055416,0.0,0.254408,0.690176,0.055416,0.0,0.0,0.284635,0.042821,0.745592,0.0,-13.006022,0.0,0.937028,-4.60041,0,semantic_greedy,heuristic
lyapunov_greedy,low_snr_blockage,50,397,0.355164,0.355164,0.530486,0.553706,0.089693,0.18565,85.85,0.0,0.0,0.266759,0.77597,0.762969,0.65,0.82,1.082835,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.644836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.130982,0.0,0.0,2.118784,0.0,3.438287,-0.509544,0,lyapunov_greedy,heuristic
ppo,low_snr_blockage,50,397,0.831234,0.289673,0.75726,0.795115,0.10069,10.995244,108.280016,0.555791,0.555791,0.068477,0.777531,0.729104,0.65,0.82,0.192879,35.087205,0.0,0.0,0.0,78.397607,0.005229,-2.1e-05,0.065475,0.0,0.168766,0.599496,0.0,0.0,0.0,0.0,0.0,0.435768,0.564232,0.0,0.0,0.435768,0.564232,0.0,0.0,0.0,0.267003,0.047859,0.579345,0.0,-8.665474,0.0,1.473552,-2.992233,0,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_blockage,50,397,0.342569,0.342569,0.524218,0.5475,0.089771,0.185158,85.85,0.0,0.0,0.272057,0.775668,0.763448,0.65,0.82,1.11288,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.657431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.130982,0.0,0.0,2.1359,0.0,3.438287,-0.510045,1,always_cache,heuristic
always_semantic_token,low_snr_blockage,50,397,0.657431,0.0,0.61705,0.6672,0.112785,18.198491,2520.251065,0.985565,0.985565,0.198862,0.778766,0.777647,0.65,0.82,0.933936,58.920205,8705.236029,0.070529,0.0,2478.661189,16.393262,0.014117,0.11578,0.973209,0.342569,1.0,0.04534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.360202,0.0,1.0,0.0,-16.408819,0.0,0.0,-5.977226,1,always_semantic_token,heuristic
always_image,low_snr_blockage,50,397,0.657431,0.0,0.61248,0.64693,0.096701,53.990748,2728.630463,36.787224,36.787224,0.243917,0.778766,0.777647,0.65,0.82,1.170936,207.253171,9621.976111,0.118388,0.0,2478.661189,16.393262,0.014117,0.11578,0.0,0.342569,1.0,0.078086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.360202,0.0,1.0,0.0,-52.201075,0.0,0.0,-13.288113,1,always_image,heuristic
semantic_greedy,low_snr_blockage,50,397,0.947103,0.229219,0.821051,0.866539,0.107226,14.491942,1897.16919,2.410415,2.410415,0.01233,0.778463,0.658095,0.65,0.82,0.013304,43.281651,6245.209594,0.047859,0.0,1851.91957,12.1234,0.011923,0.087813,0.934477,0.052897,0.770781,0.030227,0.0,0.0,0.0,0.0,0.241814,0.70529,0.052897,0.0,0.241814,0.70529,0.052897,0.0,0.0,0.292191,0.040302,0.758186,0.0,-12.560506,0.0,0.881612,-4.527853,1,semantic_greedy,heuristic
lyapunov_greedy,low_snr_blockage,50,397,0.342569,0.342569,0.524218,0.5475,0.089771,0.185158,85.85,0.0,0.0,0.272057,0.775668,0.763448,0.65,0.82,1.11288,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.657431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.130982,0.0,0.0,2.1359,0.0,3.438287,-0.510045,1,lyapunov_greedy,heuristic
ppo,low_snr_blockage,50,397,0.81864,0.261965,0.749442,0.788006,0.10239,14.596152,111.765319,0.571265,0.571265,0.074843,0.77738,0.733611,0.65,0.82,0.219668,48.274193,0.0,0.0,0.0,78.397607,0.005229,-2.1e-05,0.067004,0.0,0.18136,0.622166,0.0,0.0,0.0,0.0,0.0,0.420655,0.579345,0.0,0.0,0.420655,0.579345,0.0,0.0,0.0,0.284635,0.04534,0.602015,0.0,-8.996724,0.0,1.36272,-3.711783,1,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_blockage,50,397,0.335013,0.335013,0.520065,0.543393,0.08987,0.185144,85.85,0.0,0.0,0.275999,0.775567,0.764091,0.65,0.82,1.132323,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.664987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.130982,0.0,0.0,2.141456,0.0,3.438287,-0.509443,2,always_cache,heuristic
always_semantic_token,low_snr_blockage,50,397,0.654912,0.0,0.615483,0.665571,0.112675,18.349571,2532.170903,0.985716,0.985716,0.200247,0.778665,0.777372,0.65,0.82,0.944167,59.643716,8806.497943,0.070529,0.0,2490.542704,16.471843,0.016499,0.116017,0.973242,0.345088,1.0,0.04534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.352645,0.0,1.0,0.0,-16.549319,0.0,0.0,-6.014729,2,always_semantic_token,heuristic
always_image,low_snr_blockage,50,397,0.654912,0.0,0.609998,0.64435,0.096576,55.697905,2742.140567,36.837994,36.837994,0.245781,0.778665,0.777372,0.65,0.82,1.184286,210.705306,9725.992349,0.115869,0.0,2490.542704,16.471843,0.016499,0.116017,0.0,0.345088,1.0,0.075567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.352645,0.0,1.0,0.0,-53.897653,0.0,0.0,-13.637569,2,always_image,heuristic
semantic_greedy,low_snr_blockage,50,397,0.947103,0.231738,0.821309,0.866737,0.107128,14.774202,1910.46742,2.410552,2.410552,0.01233,0.778363,0.658095,0.65,0.82,0.013304,43.65701,6338.99705,0.047859,0.0,1865.031026,12.210116,0.014926,0.088611,0.934563,0.052897,0.768262,0.030227,0.0,0.0,0.0,0.0,0.241814,0.70529,0.052897,0.0,0.241814,0.70529,0.052897,0.0,0.0,0.284635,0.042821,0.758186,0.0,-12.829668,0.0,0.871537,-4.575726,2,semantic_greedy,heuristic
lyapunov_greedy,low_snr_blockage,50,397,0.335013,0.335013,0.520065,0.543393,0.08987,0.185144,85.85,0.0,0.0,0.275999,0.775567,0.764091,0.65,0.82,1.132323,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.664987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130982,0.130982,0.0,0.0,2.141456,0.0,3.438287,-0.509443,2,lyapunov_greedy,heuristic
ppo,low_snr_blockage,50,397,0.823678,0.277078,0.752176,0.790244,0.101301,17.05013,113.68459,0.560914,0.560914,0.072512,0.775592,0.731857,0.65,0.82,0.212819,56.842476,0.0,0.0,0.0,78.397607,0.005229,-2.1e-05,0.067668,0.0,0.176322,0.604534,0.0,0.0,0.0,0.0,0.0,0.43073,0.56927,0.0,0.0,0.43073,0.56927,0.0,0.0,0.0,0.279597,0.047859,0.586902,0.0,-8.570498,0.0,1.438287,-4.184792,2,semantic_path_two_timescale_ppo,rl
always_cache,edge_overload,50,500,0.0,0.0,0.173775,0.295959,0.666674,0.386946,85.85,0.0,0.0,0.464625,0.6384,0.6384,0.62,0.64,2.728933,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.726454,0.0,5.5,-1.111729,0,always_cache,heuristic
always_semantic_token,edge_overload,50,500,0.408,0.004,0.566052,0.885935,0.573518,4.445756,709.475924,0.985626,0.985626,0.127184,0.63132,0.639122,0.62,0.64,0.818756,1.963696,1618.061688,0.0,0.0,656.163864,3.254781,0.075347,0.404823,0.993891,0.592,0.892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034,0.108,0.892,0.0,-1.823556,0.0,0.0,-1.69375,0,always_semantic_token,heuristic
always_image,edge_overload,50,500,0.048,0.0,0.32035,0.582015,0.75061,6.816827,777.153913,161.329484,161.329484,0.328913,0.6384,0.639328,0.62,0.64,1.917996,6.839537,1927.062487,5.5,0.0,564.065885,2.797946,0.064866,0.400388,0.0,0.952,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.783427,0.0,0.0,-3.404886,0,always_image,heuristic
semantic_greedy,edge_overload,50,500,0.078,0.0,0.323283,0.584859,0.750465,6.589331,762.958049,149.330209,149.330209,0.326979,0.6384,0.639957,0.62,0.64,1.914772,6.674541,1905.001761,5.37,0.0,564.065885,2.797946,0.064866,0.400388,0.074377,0.922,1.0,0.0,0.922,0.0,0.0,0.0,0.0,0.078,0.922,0.0,0.0,0.078,0.922,0.0,0.0,0.0,0.0,1.0,0.0,-3.555931,0.0,0.0,-3.32971,0,semantic_greedy,heuristic
lyapunov_greedy,edge_overload,50,500,0.0,0.0,0.173775,0.295959,0.666674,0.386946,85.85,0.0,0.0,0.464625,0.6384,0.6384,0.62,0.64,2.728933,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.726454,0.0,5.5,-1.111729,0,lyapunov_greedy,heuristic
ppo,edge_overload,50,500,0.518,0.09,0.572755,0.785798,0.440467,2.449851,344.912762,0.735386,0.735386,0.128628,0.62728,0.635104,0.62,0.64,0.974546,1.208668,854.138501,0.0,0.0,314.570091,1.460546,0.004325,0.194105,0.0,0.482,0.662,0.0,0.0,0.0,0.0,0.0,0.184,0.816,0.0,0.0,0.184,0.786,0.0,0.0,0.03,0.066,0.112,0.742,0.0,-2.489941,0.0,1.32,-0.754051,0,semantic_path_two_timescale_ppo,rl
always_cache,edge_overload,50,500,0.0,0.0,0.173775,0.295959,0.666674,0.386437,85.85,0.0,0.0,0.464625,0.6384,0.6384,0.62,0.64,2.728933,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707963,0.0,5.5,-1.111627,1,always_cache,heuristic
always_semantic_token,edge_overload,50,500,0.392,0.004,0.562124,0.887573,0.581907,4.424841,706.139839,0.991631,0.991631,0.129262,0.63164,0.639145,0.62,0.64,0.828369,1.950671,1604.856483,0.0,0.0,653.506689,3.241601,0.075223,0.403097,0.993853,0.608,0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034,0.104,0.896,0.0,-1.806841,0.0,0.0,-1.708245,1,always_semantic_token,heuristic
always_image,edge_overload,50,500,0.048,0.0,0.32035,0.582015,0.75061,6.816066,777.093349,161.329484,161.329484,0.328913,0.6384,0.639328,0.62,0.64,1.917996,6.947399,1922.862906,5.5,0.0,564.005273,2.797645,0.065167,0.400935,0.0,0.952,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.801666,0.0,0.0,-3.404709,1,always_image,heuristic
semantic_greedy,edge_overload,50,500,0.078,0.0,0.323283,0.584859,0.750465,6.588578,762.897494,149.330209,149.330209,0.326979,0.6384,0.639957,0.62,0.64,1.914772,6.782447,1900.802227,5.37,0.0,564.005273,2.797645,0.065167,0.400935,0.074377,0.922,1.0,0.0,0.922,0.0,0.0,0.0,0.0,0.078,0.922,0.0,0.0,0.078,0.922,0.0,0.0,0.0,0.0,1.0,0.0,-3.574178,0.0,0.0,-3.329535,1,semantic_greedy,heuristic
lyapunov_greedy,edge_overload,50,500,0.0,0.0,0.173775,0.295959,0.666674,0.386437,85.85,0.0,0.0,0.464625,0.6384,0.6384,0.62,0.64,2.728933,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707963,0.0,5.5,-1.111627,1,lyapunov_greedy,heuristic
ppo,edge_overload,50,500,0.508,0.084,0.566742,0.775686,0.435406,2.680515,382.66151,0.718509,0.718509,0.13304,0.6272,0.634634,0.62,0.64,1.008619,1.299246,875.75197,0.0,0.0,355.048305,1.68145,0.011186,0.191619,0.0,0.492,0.66,0.0,0.0,0.0,0.0,0.0,0.202,0.798,0.0,0.0,0.202,0.77,0.0,0.0,0.028,0.058,0.108,0.734,0.0,-2.468574,0.0,1.412,-0.834691,1,semantic_path_two_timescale_ppo,rl
always_cache,edge_overload,50,500,0.0,0.0,0.173198,0.294021,0.662911,0.386326,85.85,0.0,0.0,0.465082,0.63828,0.63828,0.62,0.64,2.739276,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689674,0.0,5.5,-1.111605,2,always_cache,heuristic
always_semantic_token,edge_overload,50,500,0.398,0.004,0.565904,0.889416,0.577533,4.44477,709.829681,0.989133,0.989133,0.126388,0.63152,0.639136,0.62,0.64,0.810053,1.965784,1609.986454,0.0,0.0,656.941944,3.258641,0.075222,0.410496,0.993867,0.602,0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034,0.104,0.896,0.0,-1.84517,0.0,0.0,-1.713702,2,always_semantic_token,heuristic
always_image,edge_overload,50,500,0.054,0.0,0.32749,0.59164,0.746966,6.8355,780.829047,161.285091,161.285091,0.323033,0.63828,0.639323,0.62,0.64,1.875629,6.999894,1927.935866,5.5,0.0,567.440529,2.814685,0.065167,0.408334,0.0,0.946,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.8395,0.0,0.0,-3.400002,2,always_image,heuristic
semantic_greedy,edge_overload,50,500,0.084,0.0,0.33007,0.594203,0.74691,6.59019,765.541053,148.363288,148.363288,0.321098,0.63828,0.639956,0.62,0.64,1.872405,6.820757,1903.69095,5.358,0.0,567.440529,2.814685,0.065167,0.408334,0.080118,0.916,1.0,0.0,0.916,0.0,0.0,0.0,0.0,0.084,0.916,0.0,0.0,0.084,0.916,0.0,0.0,0.0,0.0,1.0,0.0,-3.59419,0.0,0.0,-3.318981,2,semantic_greedy,heuristic
lyapunov_greedy,edge_overload,50,500,0.0,0.0,0.173198,0.294021,0.662911,0.386326,85.85,0.0,0.0,0.465082,0.63828,0.63828,0.62,0.64,2.739276,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689674,0.0,5.5,-1.111605,2,lyapunov_greedy,heuristic
ppo,edge_overload,50,500,0.472,0.068,0.548239,0.75539,0.439645,2.598349,371.828822,0.690787,0.690787,0.145989,0.6274,0.634015,0.62,0.64,1.067756,1.266672,830.79453,0.0,0.0,339.726828,1.654201,0.006864,0.182801,0.0,0.528,0.648,0.0,0.0,0.0,0.0,0.0,0.238,0.762,0.0,0.0,0.238,0.762,0.0,0.0,0.0,0.054,0.12,0.658,0.0,-2.159375,0.0,1.568,-0.857838,2,semantic_path_two_timescale_ppo,rl
always_cache,utm_conflict,50,250,0.0,0.0,0.388154,0.483692,0.373654,0.203222,85.85,0.0,0.0,0.431846,0.82,0.82,0.82,0.82,1.147853,0.0,0.0,1.176,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.188378,0.0,3.0,-1.074984,0,always_cache,heuristic
always_semantic_token,utm_conflict,50,250,0.0,0.0,0.581895,0.824616,0.419956,9.80864,1387.686929,1.188238,1.188238,0.238105,0.82,0.82,0.82,0.82,0.754315,20.915728,2743.997561,0.544,0.544,1352.790028,8.947024,0.128026,0.023028,0.994048,1.0,1.0,0.0,0.0,0.188,0.188,0.188,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.188,-8.49704,0.0,0.0,-4.426379,0,always_semantic_token,heuristic
always_image,utm_conflict,50,250,0.0,0.0,0.419913,0.544,0.391401,12.581812,1561.920188,199.620645,199.620645,0.400087,0.82,0.82,0.82,0.82,1.274365,29.156304,3266.699532,0.544,0.544,1352.790028,8.947024,0.128026,0.023028,0.0,1.0,1.0,0.0,0.0,0.188,0.188,0.188,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.188,-11.270212,0.0,0.0,-5.447572,0,always_image,heuristic
semantic_greedy,utm_conflict,50,250,0.0,0.0,0.419913,0.544,0.391401,12.581812,1561.920188,199.620645,199.620645,0.400087,0.82,0.82,0.82,0.82,1.274365,29.156304,3266.699532,0.544,0.544,1352.790028,8.947024,0.128026,0.023028,0.0,1.0,1.0,0.0,0.0,0.188,0.188,0.188,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.188,-11.270212,0.0,0.0,-5.447572,0,semantic_greedy,heuristic
lyapunov_greedy,utm_conflict,50,250,0.0,0.0,0.388154,0.483692,0.373654,0.203222,85.85,0.0,0.0,0.431846,0.82,0.82,0.82,0.82,1.147853,0.0,0.0,1.176,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.188378,0.0,3.0,-1.074984,0,lyapunov_greedy,heuristic
ppo,utm_conflict,50,250,0.0,0.0,0.225243,0.291692,0.115713,4.195032,610.754753,0.342173,0.342173,0.594757,0.82,0.82,0.82,0.82,1.73623,10.342809,1492.973184,0.0,0.0,600.64845,3.970479,0.04326,0.0,0.0,1.0,0.244,0.0,0.0,0.0,0.0,0.0,0.712,0.288,0.0,0.0,0.008,0.288,0.0,0.704,0.0,0.02,0.008,0.992,0.0,-1.711502,2.052,0.0,-1.119993,0,semantic_path_two_timescale_ppo,rl
always_cache,utm_conflict,50,250,0.0,0.0,0.385329,0.480615,0.373547,0.202508,85.85,0.0,0.0,0.434671,0.82,0.82,0.82,0.82,1.152091,0.0,0.0,1.188,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168692,0.0,3.0,-1.074842,1,always_cache,heuristic
always_semantic_token,utm_conflict,50,250,0.0,0.0,0.585228,0.827692,0.419455,9.829722,1391.979522,1.188235,1.188235,0.234772,0.82,0.82,0.82,0.82,0.749315,21.047777,2751.698839,0.548,0.548,1357.082614,8.975414,0.128989,0.019984,0.994051,1.0,1.0,0.0,0.0,0.176,0.176,0.176,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.176,-8.538522,0.0,0.0,-4.395513,1,always_semantic_token,heuristic
always_image,utm_conflict,50,250,0.0,0.0,0.426088,0.552,0.391401,12.603943,1566.213829,199.746048,199.746048,0.393912,0.82,0.82,0.82,0.82,1.265102,29.292613,3274.405071,0.548,0.548,1357.082614,8.975414,0.128989,0.019984,0.0,1.0,1.0,0.0,0.0,0.176,0.176,0.176,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.176,-11.312743,0.0,0.0,-5.417166,1,always_image,heuristic
semantic_greedy,utm_conflict,50,250,0.0,0.0,0.426088,0.552,0.391401,12.603943,1566.213829,199.746048,199.746048,0.393912,0.82,0.82,0.82,0.82,1.265102,29.292613,3274.405071,0.548,0.548,1357.082614,8.975414,0.128989,0.019984,0.0,1.0,1.0,0.0,0.0,0.176,0.176,0.176,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.176,-11.312743,0.0,0.0,-5.417166,1,semantic_greedy,heuristic
lyapunov_greedy,utm_conflict,50,250,0.0,0.0,0.385329,0.480615,0.373547,0.202508,85.85,0.0,0.0,0.434671,0.82,0.82,0.82,0.82,1.152091,0.0,0.0,1.188,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168692,0.0,3.0,-1.074842,1,lyapunov_greedy,heuristic
ppo,utm_conflict,50,250,0.0,0.0,0.305672,0.396,0.154995,5.847785,852.143162,0.470488,0.470488,0.514328,0.82,0.82,0.82,0.82,1.555336,13.701538,1984.075686,0.0,0.0,838.445343,5.545273,0.058921,0.0,0.0,1.0,0.352,0.0,0.0,0.0,0.0,0.0,0.604,0.396,0.0,0.0,0.0,0.396,0.0,0.604,0.0,0.016,0.0,1.0,0.0,-2.860355,1.828,0.0,-1.687355,1,semantic_path_two_timescale_ppo,rl
always_cache,utm_conflict,50,250,0.0,0.0,0.388079,0.483385,0.373436,0.202488,85.85,0.0,0.0,0.431921,0.82,0.82,0.82,0.82,1.141834,0.0,0.0,1.188,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168712,0.0,3.0,-1.074838,2,always_cache,heuristic
always_semantic_token,utm_conflict,50,250,0.0,0.0,0.580228,0.823077,0.420206,9.828927,1391.530178,1.188239,1.188239,0.239772,0.82,0.82,0.82,0.82,0.769316,21.038222,2749.604102,0.556,0.556,1356.633275,8.972442,0.129898,0.019359,0.994046,1.0,1.0,0.0,0.0,0.18,0.18,0.18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,-8.537727,0.0,0.0,-4.416774,2,always_semantic_token,heuristic
always_image,utm_conflict,50,250,0.0,0.0,0.416825,0.54,0.391401,12.602365,1565.763702,199.557943,199.557943,0.403175,0.82,0.82,0.82,0.82,1.302153,29.278341,3272.305617,0.556,0.556,1356.633275,8.972442,0.129898,0.019359,0.0,1.0,1.0,0.0,0.0,0.18,0.18,0.18,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18,-11.311165,0.0,0.0,-5.437894,2,always_image,heuristic
